"Region","County"
"Denver","08001"
"Denver","08005"
"Denver","08013"
"Denver","08014"
"Denver","08019"
"Denver","08031"
"Denver","08035"
"Denver","08047"
"Denver","08059"
"Oklahoma City","40017"
"Oklahoma City","40027"
"Oklahoma City","40083"
"Oklahoma City","40109"
"Kansas City","20091"
"Kansas City","20103"
"Kansas City","20121"
"Kansas City","20209"
"Kansas City","29037"
"Kansas City","29047"
"Kansas City","29095"
"Kansas City","29165"
"Kansas City","29177"
"St. Louis","29071"
"St. Louis","29099"
"St. Louis","29183"
"St. Louis","29189"
"St. Louis","29510"
"St. Louis","17119"
"St. Louis","17133"
"St. Louis","17163"
"Chicago","17031"
"Chicago","17043"
"Chicago","17089"
"Chicago","17093"
"Chicago","17097"
"Chicago","17111"
"Chicago","17197"
"Cleveland","39035"
"Cleveland","39055"
"Cleveland","39085"
"Cleveland","39093"
"Cleveland","39103"
"Atlanta","13057"
"Atlanta","13063"
"Atlanta","13067"
"Atlanta","13089"
"Atlanta","13097"
"Atlanta","13113"
"Atlanta","13121"
"Atlanta","13135"
"Atlanta","13151"
"Atlanta","13247"
"Miami","12011"
"Miami","12086"
"Miami","12087"
"Tampa Bay","12017"
"Tampa Bay","12053"
"Tampa Bay","12057"
"Tampa Bay","12081"
"Tampa Bay","12101"
"Tampa Bay","12103"
"Orlando","12009"
"Orlando","12069"
"Orlando","12083"
"Orlando","12095"
"Orlando","12097"
"Orlando","12117"
"Orlando","12119"
"Orlando","12127"
"Charleston","45015"
"Charleston","45019"
"Charleston","45035"
"Charlotte","37007"
"Charlotte","37025"
"Charlotte","37071"
"Charlotte","37097"
"Charlotte","37109"
"Charlotte","37117"
"Charlotte","37159"
"Charlotte","37167"
"Charlotte","37179"
"Raleigh","37037"
"Raleigh","37063"
"Raleigh","37101"
"Raleigh","37105"
"Raleigh","37135"
"Raleigh","37183"
"Richmond","51035"
"Richmond","51041"
"Richmond","51053"
"Richmond","51075"
"Richmond","51081"
"Richmond","51085"
"Richmond","51087"
"Richmond","51127"
"Richmond","51145"
"Richmond","51149"
"Richmond","51181"
"Richmond","51183"
"Richmond","51570"
"Richmond","51595"
"Richmond","51670"
"Richmond","51730"
"Richmond","51760"
"Virginia Beach","51001"
"Virginia Beach","51093"
"Virginia Beach","51095"
"Virginia Beach","51131"
"Virginia Beach","51175"
"Virginia Beach","51199"
"Virginia Beach","51550"
"Virginia Beach","51620"
"Virginia Beach","51650"
"Virginia Beach","51700"
"Virginia Beach","51710"
"Virginia Beach","51735"
"Virginia Beach","51740"
"Virginia Beach","51800"
"Virginia Beach","51810"
"Virginia Beach","51830"
"Boston","25009"
"Boston","25017"
"Boston","25021"
"Boston","25023"
"Boston","25025"
"Baltimore","24003"
"Baltimore","24005"
"Baltimore","24013"
"Baltimore","24025"
"Baltimore","24027"
"Baltimore","24035"
"Baltimore","24510"
"Puget","53033"
"Puget","53035"
"Puget","53053"
"Puget","53061"
"Bay Area","06001"
"Bay Area","06013"
"Bay Area","06041"
"Bay Area","06055"
"Bay Area","06075"
"Bay Area","06081"
"Bay Area","06085"
"Bay Area","06095"
"Bay Area","06097"
