COUNTY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
ADAMS,"16,458","16,259","16,445","16,612","16,664","16,918","16,997","17,413","17,782","18,405","18,821"
ASOTIN,"20,546","20,447","20,490","20,487","20,783","20,908","21,133","21,188","21,393","21,415","21,688"
BENTON,"143,131","145,909","150,323","153,596","155,689","157,726","159,564","161,669","166,573","171,122","176,455"
CHELAN,"66,648","66,574","66,742","67,173","67,882","68,747","69,536","70,214","70,813","71,679","72,735"
CLALLAM,"64,269","64,756","65,777","66,301","67,411","68,720","69,642","70,186","70,769","71,077","71,515"
CLARK,"347,208","357,211","366,405","374,098","384,931","394,277","401,698","408,820","415,282","421,236","427,044"
COLUMBIA,"4,069","4,034","3,995","4,003","4,027","3,974","3,895","3,897","3,903","3,977","4,113"
COWLITZ,"92,984","93,608","94,325","94,516","95,541","96,536","99,162","100,744","101,688","102,126","102,501"
DOUGLAS,"32,674","32,787","33,044","33,481","34,086","34,622","35,558","36,503","37,216","37,935","38,589"
FERRY,"7,276","7,285","7,280","7,424","7,478","7,495","7,562","7,430","7,439","7,538","7,553"
FRANKLIN,"49,565","50,511","52,365","55,447","58,165","61,360","64,585","67,586","70,775","74,478","79,223"
GARFIELD,"2,383","2,313","2,293","2,316","2,270","2,274","2,245","2,203","2,244","2,237","2,269"
GRANT,"74,918","76,044","76,944","77,955","78,734","79,531","81,036","82,645","84,944","87,340","89,744"
GRAYS HARBOR,"67,075","67,896","68,264","69,065","69,775","70,423","71,256","71,827","72,027","72,468","72,882"
ISLAND,"71,886","73,884","74,840","74,670","77,667","77,589","79,136","78,726","78,375","78,248","78,681"
JEFFERSON,"26,414","26,845","27,201","27,588","27,949","28,506","29,239","29,346","29,648","29,714","29,924"
KING,"1,739,009","1,754,090","1,758,685","1,763,440","1,775,297","1,795,268","1,822,967","1,847,986","1,875,020","1,912,012","1,937,961"
KITSAP,"232,720","234,513","238,129","239,758","241,960","239,806","245,054","244,105","246,912","248,800","251,809"
KITTITAS,"33,537","34,000","34,977","35,726","36,921","37,537","38,680","39,158","40,015","40,466","41,028"
KLICKITAT,"19,204","19,161","19,060","19,242","19,232","19,279","19,701","19,898","20,135","20,164","20,378"
LEWIS,"68,596","68,934","69,452","70,366","71,021","72,060","73,318","74,229","74,899","75,316","75,487"
LINCOLN,"10,143","10,123","10,092","10,206","10,442","10,350","10,418","10,509","10,608","10,570","10,561"
MASON,"49,631","50,298","51,215","52,351","53,819","55,198","56,872","58,679","59,785","60,333","60,766"
OKANOGAN,"39,566","39,126","38,865","38,575","38,847","39,143","39,322","39,676","40,235","40,699","41,257"
PACIFIC,"20,939","20,631","20,514","20,885","20,953","21,228","21,326","21,415","21,305","21,026","20,886"
PEND OREILLE,"11,672","11,807","11,934","12,029","12,244","12,357","12,681","12,828","12,985","13,043","12,983"
PIERCE,"703,993","716,447","728,091","733,969","740,137","748,148","763,408","772,484","785,400","796,483","795,628"
SAN JUAN,"14,120","14,334","14,628","14,787","15,071","15,167","15,270","15,400","15,590","15,714","15,783"
SKAGIT,"103,420","104,534","105,563","107,369","109,030","110,683","112,621","114,066","115,808","116,557","117,102"
SKAMANIA,"9,895","9,833","9,886","10,046","10,236","10,303","10,583","10,786","10,918","10,955","11,102"
SNOHOMISH,"609,185","622,390","631,526","635,612","643,533","654,849","670,706","683,997","694,622","706,302","715,470"
SPOKANE,"418,803","422,922","427,107","430,710","435,268","440,439","447,517","456,150","462,263","468,235","472,147"
STEVENS,"40,210","40,204","40,334","40,589","41,022","41,612","42,366","43,059","43,398","43,548","43,486"
THURSTON,"208,287","212,421","216,313","219,499","222,985","227,023","232,688","237,772","244,332","249,936","253,087"
WAHKIAKUM,"3,835","3,776","3,789","3,662","3,729","3,824","3,936","3,975","4,033","3,995","3,971"
WALLA WALLA,"55,178","55,072","55,666","56,108","56,652","56,569","56,705","56,840","57,315","58,103","58,963"
WHATCOM,"167,696","171,172","174,904","177,851","181,756","185,450","188,926","192,837","196,708","199,865","201,628"
WHITMAN,"40,754","40,814","41,484","41,442","42,158","42,836","42,827","42,608","43,802","44,705","44,791"
YAKIMA,"222,615","222,757","223,402","225,161","227,280","228,570","230,617","232,733","235,272","239,604","244,485"
