,COUNTY,LICENSED_BEDS,PERCENT_DISCHARGES_MEDICARE,PERCENT_DISCHARGES_MEDICAID,DISCHARGES_TOTAL,ACUTE_PATIENT_DAYS,PATIENT_DAYS,SURGERIES_INPATIENT,SURGERIES_OUTPATIENT,BIRTHS,ER_VISITS,HOME_VISITS
0,ADAMS,16.238159675236805,21.33333333333333,53.263157894736835,83.83832441019004,184.32664587868447,184.7973171736189,3.7653703594752015,33.299994116608815,32.182149791139615,473.6129905277402,0.0
1,ASOTIN,11.735200870676193,77.19512195121952,5.426829268292684,77.60374769318128,284.1527468887522,319.54762693417877,31.94056688591303,70.97903752425117,0.0,708.8439880755218,323.6644111105854
2,BENTON,8.397884234539118,34.90140040011432,34.42697913689625,109.64252588303127,357.0416886014389,506.36108395377397,29.85635857712266,43.976084831164926,23.087914567195607,527.105111428643,81.50961369732521
3,CHELAN,15.646571560055222,48.1939316102103,16.366993096805263,179.15899677864704,573.9904509894155,707.4608835710998,54.66233317993557,166.40301426599171,20.881270133456052,523.455476300046,0.0
4,CLALLAM,9.821659343499613,58.03344238458742,15.557978916757541,79.00404928060654,268.31509721145284,392.7371413802016,27.85675310875621,70.46035438384882,8.328307630452889,409.0204187128457,327.83377846701705
5,CLARK,5.227807955230049,33.58464701850582,19.273474982864975,72.64163625410134,262.23680476377774,285.3486947906139,17.92391298936017,22.282909051078175,13.769050381132095,318.95105278094485,63.592549626834085
6,COLUMBIA,28.754813863928113,85.2760736196319,3.0674846625766867,41.84852374839538,91.39922978177151,418.9987163029525,0.0,0.0,0.0,336.84210526315786,0.0
7,COWLITZ,13.956959319094008,43.35839598997494,24.18001525553013,92.54553155442609,366.319759585325,366.319759585325,22.317016599100462,55.69673867005506,12.766987354026744,511.4862548153527,0.0
8,FERRY,13.22401481089659,63.01369863013699,19.178082191780824,28.96059243586353,52.63157894736842,650.0925681036763,0.0,0.0,0.0,236.18090452261305,0.0
9,FRANKLIN,5.883719129828908,38.92649903288201,37.33075435203095,32.019818843384684,81.02500580630178,114.67058914608656,4.753425718045986,36.18487264844778,7.060462955794689,385.3371525896106,0.0
10,GARFIELD,80.1781737193764,63.06818181818181,13.068181818181818,78.39643652561247,98.88641425389754,6229.844097995546,0.0,0.44543429844098,0.0,284.1870824053452,0.0
11,GRANT,7.947085246063478,34.582623509369675,36.23752737892431,50.7058591243398,143.13391579051284,605.0890962041561,0.7157312799249717,49.84204551063725,14.401006959869688,262.43891603731674,0.0
12,GRAYS HARBOR,12.574379701358481,47.79131759329779,18.507235338918505,73.70607387448075,241.7059616032334,317.76973167171883,22.31391040754463,67.46098574155158,7.985292466599304,534.6076119905691,0.0
13,ISLAND,2.249292357460574,56.71969281404279,12.78113000548546,23.03629195309341,73.86019005256773,73.86019005256773,7.657703194500606,42.16791346542661,2.3630206227254344,193.36332389809948,34.06793368378488
14,JEFFERSON,5.7457505386641134,57.10306406685237,11.6991643454039,49.11248674715277,136.73518246178048,136.9061869420979,17.13464892780191,38.95482061630015,4.651321864632853,303.25934539484933,361.77707855945823
15,KING,10.872934068471892,31.612591537835645,16.2403376729048,107.86810732174526,436.3063072452765,516.7219154268837,35.3895599865494,41.55258981649146,14.52522179501878,347.17907674686376,48.020616939308276
16,KITSAP,4.847911072661535,47.01080573173596,13.424947145877377,69.48672537481535,250.61823108376115,250.61823108376115,24.87206901336032,25.45561386469921,8.373664580051743,279.7546663184441,113.19545896006595
17,KITTITAS,5.170630816959669,39.14447134786117,21.14608555286521,32.03205791106515,87.90072388831437,90.38262668045502,6.747673216132368,46.14788004136505,8.660806618407445,289.3485005170631,312.82316442606
18,KLICKITAT,11.573016598142226,46.918056562726626,28.063814358230605,69.99644688086899,167.85949951779097,227.90721283183595,3.0455306837216387,37.1047154966753,5.938784833257195,444.39368559971575,152.73336378864016
19,LEWIS,12.111623339425515,43.32129963898916,8.526731992435964,79.33931640252052,183.62475790392537,347.29534357183775,18.412940887640143,23.51400747429008,7.774352819225838,465.56098093237676,0.0
20,LINCOLN,53.36916874640046,38.55855855855855,32.432432432432435,106.5463620656556,122.4803225187176,3713.572662699174,7.775004799385679,42.61854482626224,0.0959877135726627,272.1251679784987,0.0
21,MASON,4.782669855113237,48.023194517659476,26.67369530838166,33.35560557040371,102.00098466732311,102.00098466732311,7.314671543114362,16.352510901673934,5.556337037558025,372.6262484174989,0.0
22,OKANOGAN,21.972432734855804,36.12565445026178,39.57499230058515,82.57464015055186,204.28767611006563,937.3887391282234,32.32287269213163,35.12028889680077,14.521133207873454,362.62143329433906,0.0
23,PACIFIC,9.5657882397074,69.75425330812854,9.45179584120983,49.61080371377661,158.49198161868142,158.96089280690236,8.205945793866642,46.047078683297386,0.0,497.1396417518522,0.0
24,PEND OREILLE,23.342007728097155,49.54545454545454,24.09090909090909,52.04636858291933,116.86775490891885,1498.8565570538601,4.494913650343032,0.0,8.832111032252977,558.7098809242174,0.0
25,PIERCE,6.518139710351477,32.452002194185404,21.27732936290259,83.57916081571061,320.44463772975917,346.21460608219985,21.40663969987215,28.600695827133066,11.411984155261669,296.63823276675123,36.6173789114078
26,SKAGIT,9.83830724287655,37.39264857437307,23.248024733768464,103.39101943687234,320.09127960149533,374.8235231439962,34.00786709405883,72.83721508422053,14.517718720309713,497.6070182292823,0.0
27,SNOHOMISH,4.168741594677847,45.22587980809229,15.283285726170995,53.76275148872978,185.17800645886572,221.1594946220848,14.276001705665374,19.17382578954117,8.458251454437562,251.45294659657137,0.0
28,SPOKANE,13.47881756447241,39.848745273289786,21.595049845307663,130.00623440003397,601.8140093002054,648.3574925645282,52.4583423646476,38.63316924273268,14.567044380436943,426.902218239754,0.0
29,STEVENS,10.857763300760043,54.91388044579535,28.622087132725433,46.593966860218096,156.8946796959826,513.5486002926875,7.387999811169334,37.48288722088467,6.2078081480432425,294.29259311712224,0.0
30,THURSTON,8.749914047995599,47.076807102772435,12.224641929809868,102.61809805404661,359.7564120195283,413.60104517637353,27.672247816819088,30.792305576566044,11.92584061060304,338.41882692704394,0.0
31,WALLA WALLA,15.025130059077684,49.53962264150943,16.76981132075472,116.83273079975311,363.8832554448461,463.9097081386121,42.289039767216295,109.90212503306587,16.577021426681952,512.212326955295,0.0
32,WHATCOM,5.356594645522585,38.981371383273874,15.920200819130665,80.12661041889417,251.70701756243184,304.81246625662953,25.28503223484327,9.342282163386724,10.845516233869345,301.6366196288494,0.0
33,WHITMAN,8.405912158217948,43.64548494983277,11.329431438127088,55.85261634015925,172.55469680341838,179.81647091787892,21.995470147336963,15.947883344619049,9.013005814089244,255.70317790179092,100.9409951666005
34,YAKIMA,9.383523330890611,35.92990591697508,28.278414411200785,97.24781781048232,317.0191269507452,356.25734442820783,28.59719795158206,42.997697481105035,18.372453028180924,533.9242120051862,32.031463422037405
